State,2024 Median income,2024 Standard error,2023 Median income,2023 Standard error,2022 Median income,2022 Standard error,2021 Median income,2021 Standard error,2020 Median income,2020 Standard error,2019 Median income,2019 Standard error,2018 Median income,2018 Standard error,2017 Median income,2017 Standard error,2016 Median income,2016 Standard error,2015 Median income,2015 Standard error,2014 Median income,2014 Standard error,2013 Median income,2013 Standard error,2012 Median income,2012 Standard error,2011 Median income,2011 Standard error,2010  Median income,2010 Standard error,2009 Median income,2009 Standard error,2008 Median income,2008 Standard error,2007 Median income,2007 Standard error,2006 Median income,2006 Standard error,2005 Median income,2005 Standard error,2004 Median income,2004 Standard error,2003 Median income,2003 Standard error,2002 Median income,2002 Standard error,2001 Median income,2001 Standard error,2000 Median income,2000 Standard error,1999 Median income,1999 Standard error,1998 Median income,1998 Standard error,1997 Median income,1997 Standard error,1996 Median income,1996 Standard error,1995 Median income,1995 Standard error,1994 Median income,1994 Standard error,1993 Median income,1993 Standard error,1992 Median income,1992 Standard error,1991 Median income,1991 Standard error
Wyoming,"78,680","2,568","77,200","4,350","73,090","2,300","71,050","3,919","65,450","2,206","65,130","3,773","62,540","3,892","57,840","3,134","57,830","3,122","60,930","2,024","55,690","2,019","67,440","3,988","57,510","2,820","54,510","2,277","52,200","2,181","52,470","2,131","53,340","1,577","48,740","1,363","47,040","1,503","44,720","1,508","45,400","1,146","42,560","1,000","39,760",976,"39,720","1,166","39,630","1,056","37,250","1,285","35,250","1,316","33,420","1,441","30,950",858,"31,530","1,136","33,140","1,848","29,440","1,167","30,210","1,420","29,050","1,382"
2024 Dollars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,2024,,2023,,2022,,2021,,2020 (41),,2019,,2018,,2017,,2016,,2015,,2014,,2013 (39),,2012,,2011,,2010 (37),,2009 (36),,2008,,2007,,2006,,2005,,2004 (revised),,2003,,2002,,2001,,2000 (30),,1999 (29),,1998,,1997,,1996,,1995 (25),,1994 (24),,1993 (23),,1992 (22),,1991,
,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error
United States,"83,730",638,"82,690",395,"79,500",627,"81,270",422,"81,580",642,"83,260",666,"77,700",517,"77,000",420,"75,380",557,"72,790",413,"69,060",505,"69,950",854,"67,400",276,"67,410",338,"68,420",451,"70,070",300,"70,520",192,"73,010",203,"71,850",309,"71,060",238,"69,970",309,"70,080",304,"70,040",230,"70,610",216,"71,790",226,"71,980",336,"70,200",415,"67,720",313,"66,340",335,"65,380",378,"63,370",289,"62,700",293,"63,010",298,"63,530",304
Alabama,"65,560","5,862","62,230","4,097","63,870","2,062","65,360","2,634","65,600","3,074","68,110","3,045","61,420","2,980","64,130","1,060","60,290","2,938","57,330","4,404","54,420","1,968","61,770","7,194","57,430","3,341","57,360","2,722","56,840","3,327","56,280","1,272","62,350","2,326","61,350","2,064","56,570","1,511","56,980","1,864","57,810","2,056","60,270","2,556","62,100","1,754","58,790","1,682","60,570","1,833","64,120","2,103","65,470","2,360","58,450","2,941","56,640","2,352","49,870","2,429","53,410","3,062","50,340","2,184","53,080","2,176","51,340","2,252"
Alaska,"91,260","5,591","100,700","6,270","95,670","5,161","93,150","4,554","89,650","4,267","95,010","8,102","84,540","4,169","90,630","3,411","96,680","5,217","96,750","4,489","87,040","4,058","94,600","7,109","84,090","3,751","77,340","4,996","80,320","3,319","86,710","2,465","89,710","3,227","91,550","2,301","84,100","2,228","85,730","2,042","86,900","3,269","83,860","1,587","87,160","1,772","95,920","3,364","90,360","1,982","90,910","3,937","91,520","3,835","87,830","2,302","98,660","3,565","92,000","3,853","89,100","2,934","86,160","3,297","85,970","2,377","85,640","3,842"
Arizona,"84,700","3,245","84,800","2,793","78,300","4,395","81,310","3,897","80,470","4,089","85,650","4,110","76,600","2,818","76,690","3,315","72,900","2,516","67,300","2,586","63,390","2,965","68,680","5,698","62,160","3,861","65,480","3,264","65,120","3,092","64,380","1,747","65,770","1,577","68,620","2,260","69,550","1,857","69,400","1,950","69,200","1,804","66,600","2,301","65,620","1,656","71,410","2,409","68,020","2,069","65,440","2,004","66,960","2,266","59,910","2,374","59,140","2,381","59,210","2,609","61,460","1,518","61,230","2,248","60,380","2,238","64,820","1,892"
Arkansas,"64,840","1,921","64,880","2,515","57,540","2,532","58,310","1,654","60,900","2,204","66,100","2,889","61,230","2,593","61,260","3,315","58,610","2,764","55,130","2,025","57,820","3,277","51,400","3,136","51,550","3,715","55,620","2,490","53,580","3,421","51,430","1,279","55,500","1,674","59,290","1,959","55,240","1,143","56,230","2,008","55,210","1,569","51,770","1,255","53,490","1,285","55,750","1,913","50,780","1,320","52,500","1,815","49,950","2,094","47,880","2,112","50,700","1,828","49,530","1,917","50,210","1,854","46,240","1,700","49,120","2,875","49,420","1,651"
California,"100,600","1,694","92,200","1,888","90,930","2,089","93,660","1,400","93,140","1,723","94,660","2,242","86,690","1,516","87,520","1,822","85,080","1,372","81,970","2,204","77,850","1,151","79,360","2,364","75,340","1,636","71,870","1,856","75,370","1,641","79,010",871,"79,930","1,162","81,000",898,"82,460","1,036","79,380",706,"77,690","1,042","79,760","1,325","78,340","1,265","79,030","1,216","80,050","1,173","77,170","1,243","73,900","1,042","72,640","1,581","72,550","1,529","71,010","1,387","69,390","1,216","68,380","1,306","71,780","1,294","70,990","1,445"
Colorado,"106,500","8,547","99,140","6,355","95,870","4,040","97,540","3,622","100,500","7,219","87,870","6,328","89,820","4,381","93,060","3,741","90,090","5,266","85,780","4,743","78,430","3,107","88,650","5,390","75,650","3,578","78,960","3,438","83,640","3,445","78,730","2,245","85,440","2,661","88,860","1,474","83,020","2,272","77,380","1,974","80,310","2,509","80,790","1,873","79,760","2,418","82,600","1,990","82,480","2,115","85,210","2,623","84,130","1,961","79,120","3,558","76,550","2,484","78,100","2,978","74,300","2,840","69,210","3,149","66,810","3,025","66,430","2,625"
Connecticut,"99,240","4,631","94,620","6,135","96,720","4,526","92,950","6,040","95,280","4,320","105,800","5,612","89,550","6,296","91,320","4,403","96,930","4,346","93,880","5,730","90,300","3,430","90,450","4,227","84,880","3,769","88,100","4,059","91,640","2,909","91,280","3,249","90,680","3,787","93,220","2,978","93,020","3,223","87,180","2,505","86,960","2,601","88,920","2,525","88,170","2,263","89,200","2,073","85,780","2,320","89,490","4,061","83,960","4,925","80,490","3,640","78,730","5,770","77,210","4,353","80,710","3,133","79,300","3,331","83,990","4,056","88,900","4,100"
Delaware,"85,860","3,258","88,570","3,967","86,090","4,435","78,860","3,352","83,990","6,336","89,920","3,647","79,960","4,426","78,190","4,140","74,110","3,820","74,390","4,369","74,040","3,823","70,610","5,678","64,700","2,611","73,610","2,350","76,670","3,131","73,350","2,507","71,080","1,946","79,340","3,138","78,160","2,579","78,590","1,650","75,830","2,243","79,300","2,229","82,000","2,783","82,940","2,455","86,110","2,578","82,470","4,035","74,850","3,165","78,750","3,773","73,480","2,621","67,010","3,546","70,450","2,339","72,380","1,704","73,380","2,865","68,720","2,343"
District of Columbia,"104,800","5,094","113,900","5,031","108,400","3,319","104,100","4,313","105,800","4,211","112,800","4,707","105,500","3,270","104,600","4,164","90,620","3,491","90,250","3,685","87,880","5,666","78,400","7,217","86,200","4,850","74,410","2,840","79,050","4,628","74,800","2,939","77,930","2,472","73,800","1,594","72,260","2,503","69,010","3,324","68,580","2,942","72,870","2,294","64,520","1,643","68,840","1,711","70,480","1,833","68,400","2,828","60,360","2,367","58,300","1,801","59,750","2,950","58,990","2,268","59,150","2,174","54,800","3,464","62,210","2,312","63,020","4,013"
Florida,"75,630","1,788","74,070","1,577","69,680","2,079","68,580","1,733","69,280","2,176","70,740","1,913","67,210","2,321","67,350","2,278","65,340","1,066","62,890","1,797","59,390","1,223","63,350","3,675","60,870","1,467","60,740","1,533","61,190","2,144","64,230",994,"62,890","1,203","66,550",828,"68,080",938,"65,940","1,242","63,980",997,"63,050","1,228","62,800","1,367","60,900",697,"66,440","1,270","63,380","1,109","63,020","1,385","59,390","1,067","57,280",959,"57,070","1,174","57,530","1,241","57,300","1,419","56,250","1,082","57,470","1,002"
Georgia,"81,210","2,132","74,290","3,301","72,200","3,178","70,610","2,602","71,090","2,474","68,630","2,159","68,650","2,499","71,540","3,054","68,340","2,144","65,390","1,805","63,780","2,586","61,340","5,530","63,580","1,987","61,910","3,344","61,260","2,530","61,000","1,768","64,810","1,632","70,690","1,567","73,550","1,804","70,440","1,285","64,680",975,"68,660","1,584","70,910","1,828","71,190","1,794","71,640","1,421","69,730","2,397","69,810","2,129","67,090","1,676","60,740","3,114","65,420","1,721","61,800","2,431","63,540","2,517","59,220","2,526","57,390","2,294"
Hawaii,"98,240","4,347","99,880","5,056","97,010","3,957","94,370","4,351","96,950","2,911","106,700","4,321","98,520","4,283","92,310","2,794","92,090","3,205","83,100","3,658","91,670","3,444","83,850","5,115","74,340","2,979","79,520","3,409","82,670","3,792","78,330","2,848","86,250","2,076","93,050","3,088","90,140","2,342","91,400","1,859","88,770","2,667","83,860","2,155","78,120","2,264","79,320","2,100","88,130","2,040","78,720","3,240","73,710","4,277","74,910","2,560","78,080","3,538","82,210","2,479","82,990","4,759","85,620","3,530","86,610","2,951","78,550","3,437"
Idaho,"81,650","2,834","75,820","2,480","77,370","2,833","88,310","2,110","80,030","2,385","79,970","2,608","72,230","2,958","75,540","3,011","72,220","1,610","66,490","1,623","68,780","3,310","63,270","7,159","63,320","4,192","63,910","4,697","65,330","2,595","65,840","1,779","66,480","2,357","71,480","1,876","68,890","1,956","67,760","1,923","70,010","2,189","68,550","1,589","62,290","1,851","63,940","1,615","64,310","2,038","63,320","2,499","66,220","1,968","61,130","2,450","64,880","2,507","62,690","2,141","61,940","2,510","62,230","2,655","56,980","1,797","55,070","2,170"
Illinois,"84,210","4,235","90,090","3,618","83,170","2,521","90,990","2,033","89,160","2,671","90,170","3,182","86,270","2,771","81,060","2,508","78,370","2,248","77,810","2,575","70,680","2,092","70,410","4,291","68,360","1,755","68,190","1,850","70,440","2,047","74,420","1,325","74,660","1,858","76,310","1,381","72,550","1,740","74,240","1,512","72,720","1,299","73,050","1,734","70,540","1,414","77,200","1,470","78,760","1,652","81,950","1,818","77,950","2,228","75,550","1,431","73,940","2,069","73,040","1,679","68,900","1,569","65,940","1,626","64,890","1,547","67,240","1,506"
Indiana,"76,710","3,868","78,900","3,534","74,650","2,896","80,590","2,892","80,130","5,009","80,830","3,772","73,660","2,456","73,870","2,542","71,620","3,673","66,960","2,166","61,860","2,501","64,560","5,885","60,980","2,361","59,850","3,110","64,070","3,573","62,360","1,527","65,220","1,661","68,970","1,824","67,680","1,842","65,090","1,687","66,810","1,817","68,640","1,551","67,790","1,235","67,520","1,585","69,870","1,161","72,230","3,041","71,730","2,869","71,170","2,165","65,700","2,426","64,050","2,770","54,710","2,027","59,150","2,731","58,670","2,704","57,130","1,944"
Iowa,"85,480","4,021","82,950","4,712","81,360","3,576","83,160","4,028","82,540","4,014","80,050","4,859","84,520","3,579","79,650","6,916","75,450","3,171","78,380","4,218","74,410","4,408","78,530","8,007","70,610","2,825","67,630","2,658","68,060","1,863","71,390","2,161","70,300","1,813","71,080","2,109","71,740","2,222","71,320","2,054","68,480","2,401","66,950","1,430","67,790","1,903","68,520","1,894","70,090","1,387","72,690","1,999","66,830","2,170","61,820","2,346","62,080","2,854","68,150","1,807","64,970","2,514","57,520","2,489","59,110","1,999","60,210","2,134"
Kansas,"87,690","4,442","87,030","5,663","77,870","3,668","87,230","4,837","87,660","4,356","88,660","5,247","78,640","2,493","72,610","3,636","72,530","4,172","70,670","4,806","68,790","3,685","62,420","5,869","66,060","2,394","62,150","2,626","63,950","2,522","62,940","2,517","67,120","1,977","70,480","2,623","67,900","1,866","64,460","1,511","64,810","2,760","71,560","2,145","70,390","1,729","69,250","1,864","70,200","1,997","66,060","3,675","66,280","2,919","66,740","2,954","60,910","2,729","58,210","1,767","55,620","2,090","59,750","2,296","62,410","2,338","61,780","1,970"
Kentucky,"64,790","3,222","63,590","3,887","59,560","4,329","63,870","3,474","68,080","2,823","67,460","3,095","67,100","4,511","64,430","1,711","57,920","2,560","54,600","2,923","55,070","2,034","58,580","5,122","54,280","2,510","53,670","2,487","57,070","3,920","60,050","1,848","57,690","1,138","57,340","1,760","58,860","1,567","56,290","1,377","56,200","1,922","59,760","1,386","60,710","1,443","64,270","1,687","62,010","1,450","59,670","2,625","65,450","2,728","61,220","3,036","60,590","2,690","57,190","2,204","52,230","2,019","48,920","2,190","48,300","2,589","50,110","2,206"
Louisiana,"60,740","1,634","59,140","2,429","62,180","2,157","65,680","3,305","61,390","1,922","62,670","1,712","61,460","2,157","55,080","1,823","53,870","1,528","59,150","2,756","54,580","2,397","60,600","3,320","51,640","2,128","54,750","2,598","54,570","4,510","63,950","2,552","55,460","2,083","60,040","1,362","54,390","2,124","57,110","1,989","57,500","1,962","54,210","1,784","56,160","2,078","55,720","1,998","52,520","1,416","57,760","2,200","57,290","2,997","60,870","2,838","56,570","2,411","53,620","2,091","50,430","2,948","52,810","2,336","52,320","2,349","53,350","2,438"
Maine,"90,730","4,232","77,700","4,273","80,130","3,779","81,680","3,550","76,400","4,122","80,650","6,062","72,150","6,990","64,820","2,693","64,930","4,272","65,380","2,485","66,560","2,794","71,740","5,043","64,950","2,969","66,920","2,671","66,550","2,342","66,860","2,448","66,210","2,013","69,610","2,032","68,030","2,679","67,370","2,198","65,230","1,930","60,040","1,529","60,860","1,397","61,220","1,592","63,720","1,458","68,740","2,333","64,340","1,894","59,970","2,381","64,860","2,264","64,960","2,087","59,540","3,019","55,070","2,414","60,910","2,110","58,770","2,642"
Maryland,"109,700","4,688","104,600","6,092","115,400","5,709","111,700","5,158","113,700","5,081","115,800","3,980","106,000","4,097","101,700","4,582","94,170","3,308","94,790","3,467","98,030","5,498","90,530","3,877","94,910","2,446","92,760","2,862","89,150","3,189","90,350","2,356","89,320","2,480","95,380","2,414","94,900","2,386","92,820","2,266","90,120","2,670","84,630","1,979","93,160","2,530","89,510","2,762","93,240","2,394","92,340","3,921","90,300","3,901","85,430","2,701","82,230","4,795","78,740","3,122","76,980","2,750","80,150","2,573","76,510","3,344","77,930","2,988"
Massachusetts,"113,900","5,829","109,300","3,199","99,720","3,497","99,390","4,706","105,300","7,589","106,300","3,427","106,200","3,425","91,880","4,176","92,260","3,717","87,410","3,594","81,280","3,426","81,620","6,922","84,100","4,985","85,260","4,345","84,610","3,045","83,570","2,462","84,560","2,347","84,970","3,242","82,470","3,099","85,920","2,690","82,100","2,631","82,440","1,542","82,340","1,904","87,370","2,538","79,940","2,320","77,830","3,578","76,450","3,540","76,900","2,531","73,820","3,611","74,010","2,830","79,540","2,082","74,380","1,905","74,780","1,518","75,310","1,666"
Michigan,"79,460","2,688","78,950","3,042","73,550","2,978","74,040","4,385","77,240","3,828","77,710","2,037","74,350","2,344","72,390","2,932","72,890","2,436","69,820","2,583","66,930","1,543","73,840","2,072","66,080","2,002","65,830","2,483","64,260","2,412","64,740","1,412","69,800","1,618","71,750","1,160","72,510","1,440","70,450","1,403","66,690","1,354","72,840","1,537","70,540","1,841","75,320","1,451","77,820","1,872","81,520","1,815","75,500","1,656","70,900","2,028","73,320","2,137","69,890","1,907","69,300","1,345","65,550","1,369","66,360","1,565","67,730","1,453"
Minnesota,"92,350","2,000","92,680","3,241","96,350","4,591","92,360","5,798","94,460","4,070","98,680","3,621","88,330","4,497","90,240","3,753","89,650","5,164","88,530","3,945","86,550","4,128","83,970","5,211","81,640","1,769","77,870","3,205","72,650","2,230","78,950","1,741","77,000","2,001","84,380","2,744","83,790","1,816","83,160","1,908","88,550","1,689","85,460","1,987","90,210","1,975","88,090","1,896","92,760","2,912","83,200","2,701","86,520","3,818","77,890","2,763","76,620","2,290","72,780","3,546","66,080","2,671","67,600","2,432","63,720","2,667","62,170","2,417"
Mississippi,"55,980","1,216","56,490","2,455","51,820","2,587","53,550","2,072","54,140","3,146","54,280","3,632","52,620","2,834","54,500","2,765","52,470","1,565","51,570","1,379","45,720","1,665","42,210","3,564","48,410","2,043","55,340","3,186","52,990","3,930","49,380","1,835","51,090","1,164","54,180","1,382","51,770","2,360","50,430","1,982","54,850","1,787","52,950","1,801","51,000","1,265","50,430","1,983","58,640","2,315","57,450","2,490","52,570","2,091","52,150","2,536","49,870","2,460","50,920","1,972","49,880","1,477","44,540","2,466","42,300","2,209","41,070","2,221"
Missouri,"78,390","3,365","80,310","3,764","76,240","4,303","73,010","3,111","74,580","3,256","73,440","3,554","75,920","3,003","71,370","3,276","70,240","2,195","76,250","3,358","72,890","3,900","60,440","5,396","65,750","2,698","61,640","2,905","63,620","2,995","68,650","2,245","64,540","1,607","66,860","1,604","66,450","2,090","65,930","1,517","66,500","1,693","70,800","1,416","70,650","1,774","69,120","2,013","77,110","2,030","73,200","2,107","72,580","3,372","66,890","3,770","64,050","2,828","66,810","2,634","59,290","2,832","57,560","2,942","56,270","2,984","58,890","2,984"
Montana,"81,920","4,356","81,270","4,175","77,790","3,068","74,630","5,740","68,060","2,994","72,950","2,780","70,940","3,537","74,140","3,248","72,870","3,677","66,200","3,783","65,770","2,288","56,390","7,762","59,570","3,389","54,240","2,742","57,320","2,565","56,920","1,410","60,140","2,473","63,450","2,469","61,270","1,039","57,230","1,781","53,590","1,119","55,180","1,726","57,530","2,002","53,720","1,232","56,040","1,712","54,900","1,709","57,010","2,045","53,460","2,095","53,620","2,927","53,250","2,120","54,270","2,447","53,120","1,937","54,550","1,497","52,360","1,877"
Nebraska,"86,140","3,626","91,500","4,348","83,540","3,356","89,680","4,550","86,660","2,942","88,560","3,950","83,110","4,837","74,800","3,573","75,800","3,419","77,890","3,783","73,200","2,901","75,220","5,505","68,960","3,566","74,900","3,627","72,900","2,445","69,810","2,332","71,120","1,758","71,470","2,004","71,760","2,221","73,510","2,219","69,110","2,102","71,140","2,113","70,680","1,714","72,920","1,866","71,380","1,741","68,320","2,416","65,740","2,797","63,490","2,796","63,580","2,804","63,180","2,216","62,440","2,192","62,230","1,672","61,800","2,203","62,310","2,124"
Nevada,"80,590","3,805","83,410","3,725","77,100","3,789","73,870","4,018","73,360","2,911","85,930","4,200","76,090","2,602","70,950","3,813","70,770","2,728","66,990","2,926","64,190","2,363","67,680","4,149","62,540","3,347","63,350","3,594","71,090","2,669","72,400","1,544","76,750","3,726","78,560","1,881","77,930","1,866","73,950","2,577","74,500","2,181","73,100","2,514","74,250","1,917","75,920","1,889","78,240","1,729","73,330","3,120","71,770","2,212","71,100","2,884","72,040","3,019","69,230","2,521","70,450","3,013","71,880","2,163","65,620","1,637","69,460","3,298"
New Hampshire,"111,800","6,708","101,300","4,903","90,580","5,920","102,000","5,532","106,600","4,176","105,300","3,298","100,000","4,174","93,850","3,815","97,360","3,719","97,470","4,533","94,470","4,187","90,200","5,178","89,600","2,938","88,720","2,225","92,520","2,292","90,270","2,612","92,770","4,492","98,210","2,683","92,370","2,205","87,410","3,108","89,670","2,090","89,900","2,110","91,360","2,129","85,830","1,202","87,070","2,125","81,460","3,453","81,170","3,369","75,030","2,935","73,660","3,241","75,150","2,985","69,220","3,608","76,190","3,251","81,100","3,953","75,990","2,824"
New Jersey,"103,500","3,156","93,960","4,963","98,430","3,680","101,700","5,455","102,600","4,865","106,300","4,931","91,230","3,499","91,590","3,763","87,410","3,660","88,050","4,034","83,970","3,466","83,220","5,827","88,110","2,590","83,950","4,078","87,430","3,392","91,180","2,701","91,550","3,220","87,940","2,119","101,400","2,950","97,200","3,462","87,240","2,025","90,670","1,655","90,120","2,651","86,570","1,560","86,180","1,694","87,970","2,485","89,960","2,593","87,880","2,606","88,730","2,275","84,270","2,686","83,040","2,090","81,280","1,979","80,210","1,730","84,460","2,178"
New Mexico,"64,140","3,208","62,560","2,732","60,150","2,503","61,380","3,607","61,060","2,062","64,370","2,662","59,380","2,708","60,040","2,470","61,860","3,780","58,110","3,716","60,090","4,263","52,430","5,754","57,370","2,995","56,540","2,901","62,670","4,188","61,290","2,103","59,020","1,936","64,460","2,142","59,670","1,874","59,740","2,608","62,440","2,500","56,790","1,848","58,560","1,752","55,390","2,070","60,000","2,134","57,620","3,088","56,950","2,524","55,060","2,117","46,890","2,039","49,870","2,110","52,840","2,714","53,700","1,712","53,180","2,770","55,970","2,520"
New York,"86,830","3,405","83,710","2,030","80,920","2,142","83,720","3,181","82,350","2,875","87,080","2,060","82,740","2,118","78,350","2,626","78,440","1,794","74,710","2,840","69,900","2,292","65,230","2,959","63,000","2,094","68,190","1,355","69,120","1,833","70,680",843,"70,740",956,"71,130","1,334","71,880","1,474","72,360","1,269","70,470","1,250","69,220","1,411","69,310",958,"70,420","1,003","69,660",993,"70,730","1,555","67,510","1,403","65,510","1,160","66,190","1,394","63,370","1,374","62,650",937,"63,610","1,116","63,860","1,088","67,050","1,135"
North Carolina,"67,220","2,992","70,390","3,371","69,370","3,194","72,210","2,413","72,480","1,977","74,120","1,998","65,640","2,166","63,160","2,208","68,640","2,080","65,430","1,730","60,210","2,201","60,490","3,882","54,900","1,710","60,880","2,101","60,860","2,670","58,990",811,"60,180","1,186","63,240","1,558","59,320","1,215","64,510","1,479","63,510","1,282","60,310","1,522","60,310","1,182","63,810","1,590","65,510","1,378","65,890","1,698","64,700","1,845","65,590","1,678","66,550","1,884","61,350","1,704","59,140","1,316","57,840","1,311","57,110","1,267","56,630","1,076"
North Dakota,"88,080","4,636","78,950","4,582","83,910","4,659","79,090","3,136","76,900","2,808","84,870","3,842","81,790","3,807","75,140","2,103","76,840","2,924","73,950","4,164","78,160","4,039","77,220","4,505","73,680","2,805","75,900","3,986","70,820","3,209","70,480","2,446","69,580","1,665","68,600","1,860","61,180","2,094","64,720","1,873","61,900","1,974","65,380","1,378","59,780","1,361","59,850","1,344","61,550","1,821","57,770","2,446","54,710","2,129","57,940","2,491","58,820","2,213","55,810","2,335","55,540","2,190","56,430","1,676","55,440","1,853","54,600","1,965"
Ohio,"80,520","3,638","75,680","3,045","71,980","2,360","71,970","3,364","72,420","1,850","78,370","3,650","75,800","2,772","74,990","2,371","68,920","2,418","68,650","2,521","63,900","1,793","66,250","3,196","58,630","2,276","60,130","1,616","63,710","2,073","64,580",881,"65,800","1,189","71,360","1,577","68,420",944,"67,800","1,604","67,950","1,542","70,410","1,505","70,490","1,283","69,870","1,105","73,460","1,252","69,850","1,749","70,270","2,845","66,130","1,636","63,680","1,987","67,040","1,896","62,560","1,147","62,790","1,321","64,590","1,207","62,820","1,601"
Oklahoma,"65,310","2,566","69,070","2,435","67,630","3,594","69,000","4,493","62,940","2,292","71,990","2,857","66,950","3,412","69,010","3,892","65,040","2,109","60,640","2,495","60,750","3,572","60,260","4,493","63,960","3,727","65,260","3,225","59,850","2,878","64,580","1,603","64,640","1,305","62,810","2,112","57,890","2,380","57,740","2,223","62,520","1,771","58,080","1,264","60,210","1,012","59,540","1,154","55,450","1,212","57,810","2,637","60,890","2,224","57,370","1,876","51,290","2,036","50,480","1,688","53,010","2,382","52,700","2,994","52,000","2,211","53,690","2,275"
Oregon,"89,700","3,925","91,030","3,875","92,510","3,657","93,980","3,526","92,180","4,297","90,190","6,878","85,070","4,495","81,060","3,583","75,500","3,348","78,360","3,058","75,780","3,859","63,960","3,769","68,410","3,078","69,390","2,164","70,260","2,090","69,110","2,314","72,520","1,926","73,010","1,972","70,190","2,081","67,730","2,134","64,700","1,659","67,360","1,561","69,040","1,412","69,010","1,257","72,660","1,600","71,850","2,214","70,530","3,479","68,160","3,272","66,340","2,381","69,790","1,861","61,780","2,215","66,500","2,328","65,660","4,193","63,670","2,292"
Pennsylvania,"80,060","2,465","81,880","3,690","76,970","2,765","83,380","2,358","84,910","4,094","85,540","3,910","79,360","2,011","79,260","3,454","77,850","2,599","77,780","2,868","71,010","2,917","72,000","3,833","68,580","1,856","67,210","2,281","67,090","2,094","67,810","1,319","72,060",826,"70,400","1,355","72,260","1,295","71,020","1,143","69,610","1,640","69,460","1,259","70,190","1,313","72,730","1,209","72,110","1,204","66,780","2,018","70,440","1,950","68,660","1,764","65,230","1,821","66,240","1,310","62,980","1,284","62,200","1,393","61,460","1,372","64,040","1,295"
Rhode Island,"92,290","3,960","83,980","4,963","85,980","4,393","86,090","4,847","96,170","4,056","85,020","6,035","76,580","4,118","83,300","5,281","78,550","3,611","71,740","4,182","75,470","5,150","73,520","5,028","74,070","3,384","66,030","3,075","71,680","2,402","72,680","2,035","74,640","3,363","78,790","2,687","80,100","2,717","75,900","2,233","75,650","3,112","72,330","2,021","70,050","1,445","76,450","1,918","72,150","1,741","75,560","3,502","73,450","4,797","63,680","4,090","69,140","1,937","67,840","2,634","62,710","2,594","67,250","3,105","62,590","2,947","65,030","2,301"
South Carolina,"76,780","2,833","70,890","2,210","65,840","2,773","71,810","2,481","72,380","2,376","75,180","2,161","70,650","2,561","68,970","2,607","69,370","4,025","59,710","2,919","57,830","2,888","56,870","3,117","58,660","2,850","53,980","2,292","57,900","2,027","57,850","1,567","59,100","1,572","64,260","2,257","59,050","2,008","61,710","1,847","61,070","1,611","62,250","1,814","62,450","2,021","63,100","1,711","64,240","1,602","64,490","3,056","60,060","2,365","62,700","2,944","64,800","2,626","55,780","2,686","58,620","2,237","52,290","1,927","56,720","2,949","57,910","2,398"
South Dakota,"79,850","3,297","83,860","4,581","71,620","3,622","84,840","3,048","84,190","5,198","77,870","4,576","73,130","3,249","71,380","4,558","73,350","3,926","70,930","3,354","68,280","4,559","69,720","3,808","65,290","2,253","63,600","2,891","62,970","2,840","64,500","1,814","72,340","1,395","67,460","1,308","67,710","2,446","66,190","2,100","64,880","1,570","63,940","1,624","62,550","1,574","66,330","1,431","62,370","1,175","63,370","1,670","59,190","1,829","54,340","2,095","55,190","1,875","56,750","3,089","58,390","2,327","55,670","2,087","54,000","1,376","51,960","1,645"
Tennessee,"75,860","3,052","74,580","3,025","69,700","2,733","71,370","3,031","65,940","2,164","68,630","3,352","68,950","1,774","69,310","2,713","65,550","1,771","60,960","2,200","56,270","2,994","56,600","4,484","56,810","3,180","56,940","3,442","53,580","1,745","57,030","1,391","55,660","1,698","59,870","1,622","60,660","1,125","60,440","1,827","60,090","1,668","60,710","1,911","61,160","1,835","59,830","1,323","58,300","1,590","64,600","2,317","61,550","2,360","56,060","2,485","57,550","2,032","55,670","2,433","56,250","2,019","50,380","1,668","50,010","1,878","51,570","1,930"
Texas,"81,490","1,240","81,110","2,138","79,560","1,953","77,390","1,751","82,050","2,324","81,740","2,144","73,530","1,687","74,400","2,135","74,240","1,796","72,740","1,660","69,340","1,730","67,100","1,775","68,610","1,255","66,050","1,553","65,630","1,609","66,830","1,046","65,180",945,"66,930","1,017","64,550","1,234","63,540",644,"65,340",866,"63,530","1,233","66,310",930,"68,320",856,"66,010","1,342","68,430","1,804","64,600","1,195","64,190","1,610","61,820","1,426","61,470","1,216","60,400","1,286","57,650","1,230","57,490","1,304","58,480","1,320"
